X1,occurrenceID,rightsHolder,basisOfRecord,institutionCode,collectionCode,catalogNumber,recordedBy,Source,Date,yearMeasurement,Sex,lifeStage,Department,Municipality,ParamoComplex,Locality,Elevation,decimalLatitude,decimalLongitude,Order,Family,Species,Weight,totalCulmen,exposedCulmen,billDepth,billWidth,gape,wingArea,wingLength,distPrimarySecondary,tailLength,tailShape,Tarsus,Hallux,halluxClaw,Wingspan,Weight_Dunning2008
418,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0766,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0766,"Jean W. Parra, Antonio Cardona",Field,5-May-14,2014,Male,Not registered,Valle del Cauca,Sevilla,Complejo de Paramos Chili-Barragan (CBG),"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",3625,4.08985,-75.79985,Apodiformes,Trochilidae,Eriocnemis mosquera,5.7,23.18,20.35,2.24,2.74,4.54,NA,75,34.64,51,19.36,5.11,5.92,NA,NA,5.3
419,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0626,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0626,"Jean W. Parra, Antonio Cardona",Field,14-May-14,2014,Male,Not registered,Tolima,Cajamarca,Complejo de Paramos Chili-Barragan (CBG),"Tolima: Cajamarca: Vda. El Tunel, Sector El CampanaRio",3530,4.437231,-75.576631,Apodiformes,Trochilidae,Eriocnemis mosquera,6.23,25.03,22.49,1.74,3.11,4.79,NA,70,23.89,54,28.52,5.6,6.94,NA,NA,5.3
420,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0576,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0576,"Jean W. Parra, Antonio Cardona",Field,16-Apr-14,2014,Not registered,Adult,Quindio,Cordoba,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",3370,4.371317,-75.5982,Apodiformes,Trochilidae,Eriocnemis mosquera,6.02,26.06,22.57,1.8,2.9,NA,NA,70,25.01,53,34.99,4.93,6.98,NA,NA,5.3
421,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0665,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0665,"Jean W. Parra, Antonio Cardona",Field,16-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3450,4.44585,-75.577217,Apodiformes,Trochilidae,Eriocnemis mosquera,5.39,25.58,21.35,2.1,2.7,3.59,NA,70,26.75,57,28.59,4.6,6.78,NA,NA,5.3
422,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0664,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0664,"Jean W. Parra, Antonio Cardona",Field,16-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3450,4.4455,-75.57675,Apodiformes,Trochilidae,Eriocnemis mosquera,5.4,25.72,22.72,2.12,2.87,3.55,NA,72,26.85,54,29.09,4.38,6.67,NA,NA,5.3
423,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0538,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0538,"Jean W. Parra, Antonio Cardona",Field,17-Mar-14,2014,Male,Adult,Quindio,Salento,Complejo de paramos Los Nevados (NVS),"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",3230,4.618464,-75.429328,Apodiformes,Trochilidae,Eriocnemis mosquera,6.13,22.74,21.2,1.64,2.33,NA,58,NA,29.07,55,48,5.5,6.13,NA,NA,5.3
424,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0694,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0694,"Jean W. Parra, Antonio Cardona",Field,17-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3370,4.444817,-75.577883,Apodiformes,Trochilidae,Eriocnemis mosquera,5.8,25.16,21.94,1.74,3.08,4.37,NA,69,26.27,55,31.27,6.37,6.26,NA,NA,5.3
425,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0762,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0762,"Jean W. Parra, Antonio Cardona",Field,5-May-14,2014,Male,Not registered,Valle del Cauca,Sevilla,Complejo de Paramos Chili-Barragan (CBG),"Valle del Cauca: Sevilla: Vda. San Juan, Fca. Miravalle",3625,4.090367,-75.800417,Apodiformes,Trochilidae,Eriocnemis mosquera,NA,23.49,21.92,1.77,2.49,5.19,NA,75,30.56,62,23.7,4.08,7.05,NA,NA,5.3
426,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0581,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0581,"Jean W. Parra, Antonio Cardona",Field,16-Apr-14,2014,Not registered,Adult,Quindio,Cordoba,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",3370,4.371317,-75.5982,Apodiformes,Trochilidae,Eriocnemis mosquera,5.62,24.79,20.27,1.84,2.72,NA,NA,70,30.58,58,33.58,4.17,6.37,NA,NA,5.3
427,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0628,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0628,"Jean W. Parra, Antonio Cardona",Field,14-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3530,4.440267,-75.57705,Apodiformes,Trochilidae,Eriocnemis mosquera,NA,23.66,19,1.84,2.73,5.42,NA,74,26.45,59,34.53,5.68,6.33,NA,NA,5.3
428,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0704,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0704,"Jean W. Parra, Antonio Cardona",Field,18-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3370,4.4441,-75.579283,Apodiformes,Trochilidae,Eriocnemis mosquera,6.65,25.12,21.24,2.05,2.59,3.51,NA,75,30.55,54,27.97,4.55,6.46,NA,NA,5.3
429,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0529,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0529,"Jean W. Parra, Antonio Cardona",Field,19-Mar-14,2014,Not registered,Adult,Quindio,Salento,Complejo de paramos Los Nevados (NVS),"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",3310,4.615733,-75.424783,Apodiformes,Trochilidae,Eriocnemis mosquera,5.87,23.84,20.26,1.74,2.58,NA,53.69,71,17.64,52.5,NA,6.46,7.16,NA,NA,5.3
430,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0627,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0627,"Jean W. Parra, Antonio Cardona",Field,14-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3530,4.440267,-75.57705,Apodiformes,Trochilidae,Eriocnemis mosquera,6.35,22.27,19.46,1.68,2.33,4.44,NA,71,26.7,63,34.56,5.56,5.52,NA,NA,5.3
431,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0702,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0702,"Jean W. Parra, Antonio Cardona",Field,18-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3370,4.444817,-75.577883,Apodiformes,Trochilidae,Eriocnemis mosquera,5.35,26.92,23.05,1.19,3.04,4.16,NA,71,30.84,52,32.68,5.27,7.51,NA,NA,5.3
432,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0663,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0663,"Jean W. Parra, Antonio Cardona",Field,16-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3450,4.4455,-75.57675,Apodiformes,Trochilidae,Eriocnemis mosquera,5.23,26.18,21.85,2.07,2.82,4.23,NA,69,26.38,61,34.37,5.49,6.42,NA,NA,5.3
433,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0556,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0556,"Jean W. Parra, Antonio Cardona",Field,15-Apr-14,2014,Female,Not registered,Quindio,Cordoba,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Cordoba: Vda. Las Auras, Fca. el Porvenir",3370,4.37055,-75.597533,Apodiformes,Trochilidae,Eriocnemis mosquera,6.07,25.61,22.5,1.94,2.31,NA,NA,72,34.74,60,33.9,3.23,6.07,NA,NA,5.3
434,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0642,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0642,"Jean W. Parra, Antonio Cardona",Field,15-May-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3450,4.4455,-75.57675,Apodiformes,Trochilidae,Eriocnemis mosquera,NA,26.54,21.65,1.69,2.56,3.8,NA,77,25.02,57,40.68,5.98,6.77,NA,NA,5.3
435,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0715,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0715,"Jean W. Parra, Antonio Cardona",Field,21-Mar-14,2014,Male,Not registered,Quindio,Calarca,Complejo de Paramos Chili-Barragan (CBG),"Quindio: Calarca: Vda. El Tunel, Sector El CampanaRio",3290,4.444117,-75.582,Apodiformes,Trochilidae,Eriocnemis mosquera,5.8,24.35,20.65,1.75,1.87,4.38,NA,74,36.18,61,34.06,NA,6.7,NA,NA,5.3
436,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0497,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0497,"Jean W. Parra, Antonio Cardona",Field,23-Mar-14,2014,Male,Adult,Quindio,Salento,Complejo de paramos Los Nevados (NVS),"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",3560,4.617433,-75.418583,Apodiformes,Trochilidae,Eriocnemis mosquera,6.62,23.38,22.13,1.96,2.7,NA,57,71,31.19,48,33.45,4.22,6.55,NA,NA,5.3
437,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0520,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0520,"Jean W. Parra, Antonio Cardona",Field,22-Mar-14,2014,Not registered,Adult,Quindio,Salento,Complejo de paramos Los Nevados (NVS),"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",3470,4.6179500000000004,-75.4209,Apodiformes,Trochilidae,Eriocnemis mosquera,5.9,21.93,19.74,1.56,2.52,NA,59,75,26.48,56,33,4.78,6.89,NA,NA,5.3
438,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0518,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0518,"Jean W. Parra, Antonio Cardona",Field,22-Mar-14,2014,Not registered,Adult,Quindio,Salento,Complejo de paramos Los Nevados (NVS),"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",3470,4.6179500000000004,-75.4209,Apodiformes,Trochilidae,Eriocnemis mosquera,5.85,22.44,21.26,1.87,2.46,NA,57,74,23.24,55,43,4.71,7.18,NA,NA,5.3
439,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0531,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0531,"Jean W. Parra, Antonio Cardona",Field,19-Mar-14,2014,Female,Adult,Quindio,Salento,Complejo de paramos Los Nevados (NVS),"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",3310,4.615267,-75.424,Apodiformes,Trochilidae,Eriocnemis mosquera,6.13,23.36,21.2,2.18,2.93,NA,56,74,29.57,55,44,5.79,6.45,NA,NA,5.3
440,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0494,F. Mellizas,Human observation,IAvH,IAvH,IAvH:DISCUB:CHILIBARRAGAN-NEVADOS:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2014_IN056:0494,"Jean W. Parra, Antonio Cardona",Field,23-Mar-14,2014,Male,Adult,Quindio,Salento,Complejo de paramos Los Nevados (NVS),"Quindio: Salento: Vda. Cocora, predio Estrella de Agua, Sector Paramo de Frontino",3560,4.617433,-75.418583,Apodiformes,Trochilidae,Eriocnemis mosquera,5.72,24.3,22.23,1.73,2.71,NA,57,71,33.07,59,44.9,3.88,5.98,NA,NA,5.3
441,IAvH:SSEYC:FRONTINOURRAO:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN047:0627,UDEA,Human observation,IAvH,IAvH,NA,Jefry Betancur Ortiz,Field,28-Mar-14,2014,Male,Adult,Antioquia,Caicedo,Complejo de Paramos Frontino-Urrao (FRU),"Antioquia: Caicedo: Vda. Anocozca, Paramo El Junco",3432,6.504667,-76.058417,Apodiformes,Trochilidae,Eriocnemis mosquera,5,22.63,20.82,1.65,2.59,NA,NA,NA,24.29,44.7,7.69,6.32,5.96,NA,NA,5.3
442,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1745,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1745,"Aquiles Gutierrez, Carlos Ordonez, Nixon Guerrero, Daniel Pantoja",Field,10-Mar-15,2015,Undetermined,Adult,Narino,La Cruz,Complejo de Paramos Dona Juana-Chimayoy (DJP),"Narino: La Cruz: La Estancia, Vda. Paramito, Reserva Santa Helena",3230,1.536028,-76.942639,Apodiformes,Trochilidae,Eriocnemis mosquera,6.2,21,20.3,1.5,2,2.9,NA,70,44,54,NA,7,5.6,NA,NA,5.3
443,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1151,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1151,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,28-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3339,0.950194,-77.579556,Apodiformes,Trochilidae,Eriocnemis mosquera,5.5,20.7,18,1.8,2.3,3.4,134.96,70,39,53,17,3.4,6.4,NA,NA,5.3
444,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1143,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1143,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,NA,23.2,18.5,1.4,2.3,3.7,134.21,73,45,52,21,4.2,7.2,NA,NA,5.3
445,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1481,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1481,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,18-Jul-15,2015,Undetermined,Not registered,Narino,Pasto,Complejo de Paramos La Cocha-Patascoy (LCP),"Narino: Pasto: La Merced, Cerro Morasurco",3280,1.274972,-77.242117,Apodiformes,Trochilidae,Eriocnemis mosquera,NA,NA,20,1.4,3,3.5,162.95,71,43,52,23,6.1,7.5,NA,NA,5.3
446,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1137,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1137,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,6,22.1,19.5,1.6,2.1,3.4,147.03,67,40,54,23,6.1,5.7,NA,NA,5.3
447,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1918,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1918,"Aquiles Gutierrez, Carlos Ordonez, Nixon Guerrero, Daniel Pantoja",Field,25-Mar-15,2015,Undetermined,Adult,Cauca,Bolivar,Complejo de Paramos Dona Juana-Chimayoy (DJP),"Cauca: Bolivar: San Juan, Vda. Belen, Cerro El Banco",3400,1.704306,-76.82775,Apodiformes,Trochilidae,Eriocnemis mosquera,6,21.6,18.8,2,2.5,4.9,170.6,72,31,57.9,NA,7,6,NA,NA,5.3
448,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1133,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1133,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,5.5,20.6,17.5,1.3,2,4.5,153.17,66,42,51,25,6.6,5.3,NA,NA,5.3
449,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1139,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1139,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,6,22,18.7,1.6,2,4.5,150.46,68,47,50,21,5.7,7.4,NA,NA,5.3
450,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1132,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1132,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,6,23.8,19.4,1.5,3,4.2,145.98,67,47,53,21,6.5,7.3,NA,NA,5.3
451,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1136,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1136,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,6,23.5,19.8,1.3,2,4.2,149.19,71,45,51,21,5.6,6.5,NA,NA,5.3
452,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1134,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1134,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,6,23.3,20,1.6,2.7,5.4,148.04,66,44,55,22,7.2,5.7,NA,NA,5.3
453,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1135,UDENAR,Human observation,IAvH,IAvH,IAvH:SSEYC:CHC-DJP-LCP:ANIMALIAPLANTAE:OBSERVACIONHUMANA:I2D-BIO_2015_IN0100:1135,"Edna Calpa, Yuri Rosero, Carlos Trujillo, Francis Ramirez",Field,27-Apr-15,2015,Undetermined,Not registered,Narino,Gualmatan,Complejo de Paramos Chiles-Cumbal (CHC),"Narino: Gualmatan: Cuatis , Vda. Los Cedros",3406,0.956444,-77.578167,Apodiformes,Trochilidae,Eriocnemis mosquera,6,22.4,19,1.8,2.2,3.1,160.39,65,42,54,21,5.4,7.7,NA,NA,5.3
